名前,Player2,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,2 回,,,03,ドラ,6 回,75.00%,2 位,,0,±0,,東1局,-8000,2 回,-16000
総局数,20 回,,,04,裏ドラ,6 回,75.00%,1 位,,1,+81.3,,東2局,-3000,2 回,-6000
通算スコア,+162.6,,,06,ツモ,4 回,50.00%,2 位,,2,+162.6,,東3局,-300,2 回,-600
平均スコア,+81.30,,,07,平和,4 回,50.00%,1 位,,,,,東4局,+5300,2 回,10600
平均順位,1.00 位,,,10,役牌,4 回,50.00%,1 位,,,,,南1局,+32000,2 回,64000
1位,2 回,100.0%,,13,嶺上開花,4 回,50.00%,1 位,,,,,南2局,-16000,2 回,-32000
2位,0 回,0.0%,,52,赤ドラ,4 回,50.00%,1 位,,,,,南3局,-7700,2 回,-15400
3位,0 回,0.0%,,08,一盃口,2 回,25.00%,1 位,,,,,南4局,+64000,2 回,128000
4位,0 回,0.0%,,09,タンヤオ,2 回,25.00%,1 位,,,,,,,,
連対,2 回,100.0%,,12,河底撈魚,2 回,25.00%,1 位,,,,,起家,スコア,回数,合計
ふっとび,0 回,0.0%,,18,三色同順,2 回,25.00%,1 位,,,,,東家,±0,0 回,0
ふっとばし,2 回,100.0%,,21,三槓子,2 回,25.00%,1 位,,,,,南家,+81.30,2 回,162.6
逆転,2 回,100.0%,,46,純正九蓮,2 回,25.00%,1 位,,,,,西家,±0,0 回,0
リーチ,4 回,20.0%,,01,立直,0 回,0.00%,3 位,,,,,北家,±0,0 回,0
副露,0 回,0.0%,,02,一発,0 回,0.00%,3 位,,,,,,,,
リーチ成功,2 回,50.0%,,11,海底摸月,0 回,0.00%,1 位,,,,,相手,スコア,回数,合計
副露成功,0 回,0.0%,,14,槍槓,0 回,0.00%,1 位,,,,,Player3,+50.20,2 回,100.4
アガリ,8 回,40.0%,,15,ダブル立直,0 回,0.00%,1 位,,,,,Player4,+178.70,2 回,357.4
ツモ,4 回,50.0%,,16,一気通貫,0 回,0.00%,3 位,,,,,Player1,+96.30,2 回,192.6
ロン,4 回,50.0%,,17,チャンタ,0 回,0.00%,3 位,,,,,,,,
放銃,2 回,10.0%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
連続アガリ,2 回,2 回,,20,三暗刻,0 回,0.00%,3 位,,,,,,,,
連続無放銃,0 回,9 回,,22,対々和,0 回,0.00%,1 位,,,,,,,,
平均アガリ点,28000,224000,,23,小三元,0 回,0.00%,1 位,,,,,,,,
平均放銃点,-8000,-16000,,24,混老頭,0 回,0.00%,3 位,,,,,,,,
最大ドラ数,3 個,,,25,七対子,0 回,0.00%,3 位,,,,,,,,
最大点数,91300,,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,27,純チャン,0 回,0.00%,1 位,,,,,,,,
,,,,28,混一色,0 回,0.00%,1 位,,,,,,,,
,,,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,
,,,,30,清一色,0 回,0.00%,1 位,,,,,,,,
,,,,31,国士無双,0 回,0.00%,1 位,,,,,,,,
,,,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.00%,1 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.00%,3 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
,,,,41,天和,0 回,0.00%,3 位,,,,,,,,
,,,,42,地和,0 回,0.00%,1 位,,,,,,,,
,,,,43,人和,0 回,0.00%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
