名前,Player3,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,1 回,,,01,立直,1 回,33.33%,1 位,,0,±0,,東1局,+9000,1 回,9000
総局数,10 回,,,02,一発,1 回,33.33%,1 位,,1,+31.1,,東2局,+5000,1 回,5000
通算スコア,+31.1,,,06,ツモ,1 回,33.33%,5 位,,,,,東3局,-500,1 回,-500
平均スコア,+31.10,,,16,一気通貫,1 回,33.33%,1 位,,,,,東4局,-15300,1 回,-15300
平均順位,2.00 位,,,20,三暗刻,1 回,33.33%,1 位,,,,,南1局,-8000,1 回,-8000
1位,0 回,0.0%,,24,混老頭,1 回,33.33%,1 位,,,,,南2局,-8000,1 回,-8000
2位,1 回,100.0%,,37,緑一色,1 回,33.33%,1 位,,,,,南3局,+43900,1 回,43900
3位,0 回,0.0%,,03,ドラ,0 回,0.00%,4 位,,,,,南4局,±0,1 回,0
4位,0 回,0.0%,,04,裏ドラ,0 回,0.00%,3 位,,,,,,,,
ふっとび,0 回,0.0%,,07,平和,0 回,0.00%,3 位,,,,,起家,スコア,回数,合計
ふっとばし,0 回,0.0%,,08,一盃口,0 回,0.00%,3 位,,,,,東家,±0,0 回,0
逆転,0 回,0.0%,,09,タンヤオ,0 回,0.00%,3 位,,,,,南家,±0,0 回,0
リーチ,2 回,20.0%,,10,役牌,0 回,0.00%,3 位,,,,,西家,+31.10,1 回,31.1
副露,1 回,10.0%,,11,海底摸月,0 回,0.00%,1 位,,,,,北家,±0,0 回,0
リーチ成功,1 回,50.0%,,12,河底撈魚,0 回,0.00%,3 位,,,,,,,,
副露成功,1 回,100.0%,,13,嶺上開花,0 回,0.00%,3 位,,,,,相手,スコア,回数,合計
アガリ,3 回,30.0%,,14,槍槓,0 回,0.00%,1 位,,,,,Player4,+128.50,1 回,128.5
ツモ,2 回,66.7%,,15,ダブル立直,0 回,0.00%,1 位,,,,,Player1,+46.10,1 回,46.1
ロン,1 回,33.3%,,17,チャンタ,0 回,0.00%,3 位,,,,,Player2,-50.20,1 回,-50.2
放銃,1 回,10.0%,,18,三色同順,0 回,0.00%,3 位,,,,,,,,
連続アガリ,2 回,0 回,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
連続無放銃,5 回,5 回,,21,三槓子,0 回,0.00%,3 位,,,,,,,,
平均アガリ点,20000,60000,,22,対々和,0 回,0.00%,1 位,,,,,,,,
平均放銃点,-8000,-8000,,23,小三元,0 回,0.00%,1 位,,,,,,,,
最大ドラ数,0 個,,,25,七対子,0 回,0.00%,3 位,,,,,,,,
最大点数,51100,,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,27,純チャン,0 回,0.00%,1 位,,,,,,,,
,,,,28,混一色,0 回,0.00%,1 位,,,,,,,,
,,,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,
,,,,30,清一色,0 回,0.00%,1 位,,,,,,,,
,,,,31,国士無双,0 回,0.00%,1 位,,,,,,,,
,,,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.00%,1 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
,,,,41,天和,0 回,0.00%,3 位,,,,,,,,
,,,,42,地和,0 回,0.00%,1 位,,,,,,,,
,,,,43,人和,0 回,0.00%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,3 位,,,,,,,,
,,,,52,赤ドラ,0 回,0.00%,3 位,,,,,,,,
