名前,Player4,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,2 回,,,03,ドラ,2 回,100.00%,1 位,,0,±0,,東1局,±0,2 回,0
総局数,20 回,,,06,ツモ,2 回,100.00%,1 位,,1,-97.4,,東2局,-1000,2 回,-2000
通算スコア,-194.8,,,17,チャンタ,2 回,100.00%,1 位,,2,-194.8,,東3局,-300,2 回,-600
平均スコア,-97.40,,,25,七対子,2 回,100.00%,1 位,,,,,東4局,+17000,2 回,34000
平均順位,4.00 位,,,01,立直,0 回,0.00%,3 位,,,,,南1局,-8000,2 回,-16000
1位,0 回,0.0%,,02,一発,0 回,0.00%,3 位,,,,,南2局,-8000,2 回,-16000
2位,0 回,0.0%,,04,裏ドラ,0 回,0.00%,7 位,,,,,南3局,-18100,2 回,-36200
3位,0 回,0.0%,,07,平和,0 回,0.00%,3 位,,,,,南4局,-64000,2 回,-128000
4位,2 回,100.0%,,08,一盃口,0 回,0.00%,3 位,,,,,,,,
連対,0 回,0.0%,,09,タンヤオ,0 回,0.00%,3 位,,,,,起家,スコア,回数,合計
ふっとび,2 回,100.0%,,10,役牌,0 回,0.00%,3 位,,,,,東家,±0,0 回,0
ふっとばし,0 回,0.0%,,11,海底摸月,0 回,0.00%,1 位,,,,,南家,±0,0 回,0
逆転,0 回,0.0%,,12,河底撈魚,0 回,0.00%,3 位,,,,,西家,±0,0 回,0
リーチ,4 回,20.0%,,13,嶺上開花,0 回,0.00%,3 位,,,,,北家,-97.40,2 回,-194.8
副露,2 回,10.0%,,14,槍槓,0 回,0.00%,1 位,,,,,,,,
リーチ成功,2 回,50.0%,,15,ダブル立直,0 回,0.00%,1 位,,,,,相手,スコア,回数,合計
副露成功,0 回,0.0%,,16,一気通貫,0 回,0.00%,3 位,,,,,Player1,-82.40,2 回,-164.8
アガリ,2 回,10.0%,,18,三色同順,0 回,0.00%,3 位,,,,,Player2,-178.70,2 回,-357.4
ツモ,2 回,100.0%,,19,三色同刻,0 回,0.00%,1 位,,,,,Player3,-128.50,2 回,-257
ロン,0 回,0.0%,,20,三暗刻,0 回,0.00%,3 位,,,,,,,,
放銃,2 回,10.0%,,21,三槓子,0 回,0.00%,3 位,,,,,,,,
連続アガリ,0 回,0 回,,22,対々和,0 回,0.00%,1 位,,,,,,,,
連続無放銃,0 回,0 回,,23,小三元,0 回,0.00%,1 位,,,,,,,,
平均アガリ点,18000,36000,,24,混老頭,0 回,0.00%,3 位,,,,,,,,
平均放銃点,-64000,-128000,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
最大ドラ数,1 個,,,27,純チャン,0 回,0.00%,1 位,,,,,,,,
最大点数,-57400,,,28,混一色,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,
,,,,30,清一色,0 回,0.00%,1 位,,,,,,,,
,,,,31,国士無双,0 回,0.00%,1 位,,,,,,,,
,,,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.00%,1 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.00%,3 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
,,,,41,天和,0 回,0.00%,3 位,,,,,,,,
,,,,42,地和,0 回,0.00%,1 位,,,,,,,,
,,,,43,人和,0 回,0.00%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,3 位,,,,,,,,
,,,,52,赤ドラ,0 回,0.00%,3 位,,,,,,,,
